Time,Total_Messages,Stock_Workers,Order_Workers,Notif_Workers,DB_Workers
18:05:31,0,1,1,1,1
18:05:33,0,1,1,1,1
18:05:35,0,1,1,1,1
18:05:37,0,1,1,1,1
18:05:39,0,1,1,1,1
18:05:42,0,1,1,1,1
18:05:44,0,1,1,1,1
18:05:46,0,1,1,1,1
18:05:48,0,1,1,1,1
18:05:50,0,1,1,1,1
18:05:52,0,1,1,1,1
18:05:54,0,1,1,1,1
18:05:57,0,1,1,1,1
18:05:59,0,1,1,1,1
18:06:01,0,1,1,1,1
18:06:03,0,1,1,1,1
18:06:05,0,1,1,1,1
18:06:07,0,1,1,1,1
18:06:10,149,1,1,1,1
18:06:12,149,10,1,1,1
18:06:14,587,10,1,1,1
18:06:17,587,1,5,1,1
18:06:20,559,1,10,1,1
18:06:23,537,1,1,5,1
18:06:26,537,1,1,10,1
18:06:29,505,1,1,1,6
18:06:32,505,1,1,1,10
18:06:34,478,1,1,1,1
18:06:38,459,6,1,1,1
18:06:40,459,10,1,1,1
18:06:44,442,1,6,1,1
18:06:46,442,1,10,1,1
18:06:50,416,1,1,8,1
18:06:52,416,1,1,3,1
18:06:55,383,1,1,1,6
18:06:58,383,1,1,1,10
18:07:00,372,1,1,1,1
18:07:03,348,6,1,1,1
18:07:06,348,10,1,1,1
18:07:09,326,1,5,1,1
18:07:12,326,1,10,1,1
18:07:15,321,1,1,4,1
18:07:18,321,1,1,10,1
18:07:20,290,1,1,4,1
18:07:25,257,1,1,1,5
18:07:27,257,1,1,1,10
18:07:29,241,1,1,1,6
18:07:33,215,5,1,1,1
18:07:35,215,10,1,1,1
18:07:39,194,1,3,1,1
18:07:41,194,1,10,1,1
18:07:44,178,1,2,1,1
18:07:47,178,1,1,7,1
18:07:49,151,1,1,9,1
18:07:53,131,1,1,1,5
18:07:56,131,1,1,1,10
18:07:58,128,1,1,1,6
18:08:02,128,6,1,1,1
18:08:05,116,10,1,1,1
18:08:08,116,1,1,1,2
18:08:10,109,1,1,1,10
18:08:13,109,1,1,1,10
18:08:16,97,6,1,1,1
18:08:19,82,10,1,1,1
18:08:22,82,1,1,1,6
18:08:25,69,1,1,1,10
18:08:27,69,1,1,1,1
18:08:29,53,7,1,1,1
18:08:32,53,10,1,1,1
18:08:34,53,1,1,1,4
18:08:37,53,1,1,1,6
18:08:40,41,6,1,1,1
18:08:42,41,10,1,1,1
18:08:44,35,1,1,1,2
18:08:46,35,1,1,1,1
18:08:49,27,10,1,1,1
18:08:51,27,10,1,1,1
18:08:53,23,10,1,1,1
18:08:55,23,10,1,1,1
18:08:58,23,10,1,1,1
18:09:00,0,5,1,1,1
18:09:02,0,1,1,1,1
18:09:05,0,1,1,1,1
18:09:07,0,1,1,1,1
18:09:09,0,1,1,1,1
18:09:11,0,1,1,1,1
18:09:13,0,1,1,1,1
18:09:15,0,1,1,1,1
18:09:17,0,1,1,1,1
18:09:20,0,1,1,1,1
