Time,Total_Messages,Stock_Workers,Order_Workers,Notif_Workers,DB_Workers
17:53:51,0,0,0,0,0
17:53:53,0,0,0,0,0
17:53:55,0,0,0,0,0
17:53:57,0,0,0,0,0
17:53:59,0,0,0,0,0
17:54:01,0,0,0,0,0
17:54:03,0,0,0,0,1
17:54:05,0,1,1,1,1
17:54:08,0,1,1,1,1
17:54:10,0,1,1,1,1
17:54:12,0,1,1,1,1
17:54:14,0,1,1,1,1
17:54:16,0,1,1,1,1
17:54:18,0,1,1,1,1
17:54:20,0,1,1,1,1
17:54:23,587,1,1,1,1
17:54:25,587,1,1,1,1
17:54:27,587,1,1,1,1
17:54:29,572,1,1,1,1
17:54:31,572,1,1,1,1
17:54:33,555,1,1,1,1
17:54:36,555,1,1,1,1
17:54:38,538,1,1,1,1
17:54:40,538,1,1,1,1
17:54:42,538,1,1,1,1
17:54:44,525,1,1,1,1
17:54:46,525,1,1,1,1
17:54:48,511,1,1,1,1
17:54:51,511,1,1,1,1
17:54:53,504,1,1,1,1
17:54:55,504,1,1,1,1
17:54:57,504,1,1,1,1
17:54:59,487,1,1,1,1
17:55:01,487,1,1,1,1
17:55:03,470,1,1,1,1
17:55:06,470,1,1,1,1
17:55:08,453,1,1,1,1
17:55:10,453,1,1,1,1
17:55:12,453,1,1,1,1
17:55:14,443,1,1,1,1
17:55:16,443,1,1,1,1
17:55:18,426,1,1,1,1
17:55:21,426,1,1,1,1
17:55:23,409,1,1,1,1
17:55:25,409,1,1,1,1
17:55:27,409,1,1,1,1
17:55:29,392,1,1,1,1
17:55:31,392,1,1,1,1
17:55:33,383,1,1,1,1
17:55:36,383,1,1,1,1
17:55:38,370,1,1,1,1
17:55:40,370,1,1,1,1
17:55:42,370,1,1,1,1
17:55:44,358,1,1,1,1
17:55:46,358,1,1,1,1
17:55:48,341,1,1,1,1
17:55:51,341,1,1,1,1
17:55:53,327,1,1,1,1
17:55:55,327,1,1,1,1
17:55:57,327,1,1,1,1
17:55:59,310,1,1,1,1
17:56:01,310,1,1,1,1
17:56:03,293,1,1,1,1
17:56:06,293,1,1,1,1
17:56:08,280,1,1,1,1
17:56:10,280,1,1,1,1
17:56:12,280,1,1,1,1
17:56:14,266,1,1,1,1
17:56:16,266,1,1,1,1
17:56:18,254,1,1,1,1
17:56:21,254,1,1,1,1
17:56:23,237,1,1,1,1
17:56:25,237,1,1,1,1
17:56:27,237,1,1,1,1
17:56:29,220,1,1,1,1
17:56:31,220,1,1,1,1
17:56:33,208,1,1,1,1
17:56:36,208,1,1,1,1
17:56:38,198,1,1,1,1
17:56:40,198,1,1,1,1
17:56:42,198,1,1,1,1
17:56:44,181,1,1,1,1
17:56:46,181,1,1,1,1
17:56:48,164,1,1,1,1
17:56:51,164,1,1,1,1
17:56:53,147,1,1,1,1
17:56:55,147,1,1,1,1
17:56:57,147,1,1,1,1
17:56:59,133,1,1,1,1
17:57:01,133,1,1,1,1
17:57:03,121,1,1,1,1
17:57:06,121,1,1,1,1
17:57:08,111,1,1,1,1
17:57:10,111,1,1,1,1
17:57:12,111,1,1,1,1
17:57:14,104,1,1,1,1
17:57:16,104,1,1,1,1
17:57:18,100,1,1,1,1
17:57:21,100,1,1,1,1
17:57:23,93,1,1,1,1
17:57:25,93,1,1,1,1
17:57:27,93,1,1,1,1
17:57:29,86,1,1,1,1
17:57:31,86,1,1,1,1
17:57:33,79,1,1,1,1
17:57:36,79,1,1,1,1
17:57:38,76,1,1,1,1
17:57:40,76,1,1,1,1
17:57:42,76,1,1,1,1
17:57:44,72,1,1,1,1
17:57:46,72,1,1,1,1
17:57:48,65,1,1,1,1
17:57:51,65,1,1,1,1
17:57:53,58,1,1,1,1
17:57:55,58,1,1,1,1
17:57:57,58,1,1,1,1
17:57:59,51,1,1,1,1
17:58:01,51,1,1,1,1
17:58:03,48,1,1,1,1
17:58:06,48,1,1,1,1
17:58:08,45,1,1,1,1
17:58:10,45,1,1,1,1
17:58:12,45,1,1,1,1
17:58:14,42,1,1,1,1
17:58:16,42,1,1,1,1
17:58:19,39,1,1,1,1
17:58:21,39,1,1,1,1
17:58:23,39,1,1,1,1
17:58:25,39,1,1,1,1
17:58:27,39,1,1,1,1
17:58:29,36,1,1,1,1
17:58:31,36,1,1,1,1
17:58:34,33,1,1,1,1
17:58:36,33,1,1,1,1
17:58:38,30,1,1,1,1
17:58:40,30,1,1,1,1
17:58:42,30,1,1,1,1
17:58:44,27,1,1,1,1
17:58:47,27,1,1,1,1
17:58:49,27,1,1,1,1
17:58:51,27,1,1,1,1
17:58:53,24,1,1,1,1
17:58:55,24,1,1,1,1
17:58:57,24,1,1,1,1
17:58:59,21,1,1,1,1
17:59:02,21,1,1,1,1
17:59:04,18,1,1,1,1
17:59:06,18,1,1,1,1
17:59:08,18,1,1,1,1
17:59:10,18,1,1,1,1
17:59:12,18,1,1,1,1
17:59:15,15,1,1,1,1
17:59:17,15,1,1,1,1
17:59:19,12,1,1,1,1
17:59:21,12,1,1,1,1
17:59:23,9,1,1,1,1
17:59:25,9,1,1,1,1
17:59:28,9,1,1,1,1
17:59:30,9,1,1,1,1
17:59:32,9,1,1,1,1
17:59:34,6,1,1,1,1
17:59:36,6,1,1,1,1
17:59:38,3,1,1,1,1
17:59:41,3,1,1,1,1
17:59:43,0,1,1,1,1
17:59:45,0,1,1,1,1
17:59:47,0,1,1,1,1
17:59:49,0,1,1,1,1
17:59:51,0,1,1,1,1
17:59:54,0,1,1,1,1
17:59:56,0,1,1,1,1
17:59:58,0,1,1,1,1
18:00:00,0,1,1,1,1
18:00:02,0,1,1,1,1
18:00:04,0,1,1,1,1
18:00:07,0,1,1,1,1
18:00:09,0,1,1,1,1
18:00:11,0,1,1,1,1
18:00:13,0,1,1,1,1
18:00:15,0,1,1,1,1
18:00:17,0,1,1,1,1
18:00:20,0,1,1,1,1
18:00:22,0,1,1,1,1
18:00:24,0,1,1,1,1
18:00:26,0,1,1,1,1
