Time,Total_Messages,Stock_Workers,Order_Workers,Notif_Workers,DB_Workers
18:16:09,0,1,1,1,1
18:16:12,0,1,1,1,1
18:16:14,0,1,1,1,1
18:16:16,0,1,1,1,1
18:16:18,0,1,1,1,1
18:16:20,0,1,1,1,1
18:16:22,0,1,1,1,1
18:16:24,588,1,1,1,1
18:16:27,588,2,1,1,1
18:16:29,571,10,1,1,1
18:16:31,571,1,1,1,1
18:16:34,550,1,8,1,1
18:16:36,550,1,8,1,1
18:16:40,521,1,1,8,1
18:16:42,521,1,1,7,1
18:16:45,493,1,1,1,6
18:16:48,493,1,1,1,10
18:16:50,486,1,1,1,10
18:16:52,486,1,1,1,1
18:16:55,455,8,1,1,1
18:16:58,455,9,1,1,1
18:17:01,429,1,7,1,1
18:17:04,412,1,10,1,1
18:17:07,412,1,1,7,1
18:17:10,382,1,1,9,1
18:17:13,353,1,1,1,4
18:17:16,353,1,1,1,10
18:17:18,336,1,1,1,10
18:17:21,336,1,1,1,1
18:17:23,305,6,1,1,1
18:17:26,305,10,1,1,1
18:17:29,280,1,7,1,1
18:17:32,280,1,9,1,1
18:17:34,258,1,1,7,1
18:17:37,258,1,1,8,1
18:17:40,246,1,1,1,7
18:17:42,246,1,1,1,10
18:17:45,212,1,1,1,10
18:17:48,212,5,1,1,1
18:17:50,178,10,1,1,1
18:17:53,178,1,5,1,1
18:17:55,158,1,1,2,1
18:17:57,158,1,1,1,1
18:18:00,144,1,1,1,6
18:18:02,144,1,1,1,6
18:18:04,123,1,1,1,1
18:18:07,123,10,1,1,1
18:18:09,96,1,1,1,1
18:18:12,96,1,1,1,2
18:18:14,82,1,1,1,2
18:18:16,82,1,1,1,1
18:18:18,73,10,1,1,1
18:18:21,73,10,1,1,1
18:18:23,73,10,1,1,1
18:18:25,56,10,1,1,1
18:18:27,56,10,1,1,1
18:18:29,32,10,1,1,1
18:18:32,32,5,1,1,1
18:18:34,11,5,1,1,1
18:18:36,11,2,1,1,1
18:18:38,2,2,1,1,1
18:18:41,2,2,1,1,1
18:18:43,2,1,1,1,1
18:18:45,0,1,1,1,1
18:18:47,0,1,1,1,1
18:18:49,0,1,1,1,1
