Time,Total_Messages,Stock_Workers,Order_Workers,Notif_Workers,DB_Workers
18:43:48,0,1,1,1,1
18:43:50,0,1,1,1,1
18:43:52,0,1,1,1,1
18:43:54,0,1,1,1,1
18:43:56,0,1,1,1,1
18:43:58,0,1,1,1,1
18:44:01,0,1,1,1,1
18:44:03,588,1,1,1,1
18:44:05,588,1,1,1,1
18:44:07,588,1,1,1,1
18:44:10,571,7,1,1,1
18:44:12,571,10,1,1,1
18:44:16,552,1,9,1,1
18:44:18,533,1,3,1,1
18:44:21,533,1,1,7,1
18:44:24,504,1,1,3,1
18:44:27,504,1,1,1,7
18:44:29,476,1,1,1,9
18:44:32,476,1,1,1,9
18:44:34,463,1,1,1,9
18:44:37,463,5,1,1,1
18:44:39,428,9,1,1,1
18:44:42,428,1,6,1,1
18:44:44,407,1,1,1,1
18:44:47,407,1,1,7,1
18:44:50,383,1,1,1,6
18:44:52,383,1,1,1,7
18:44:54,363,1,1,1,7
18:44:56,363,1,1,1,1
18:44:59,338,8,1,1,1
18:45:01,338,1,2,1,1
18:45:04,316,1,2,1,1
18:45:06,316,1,1,6,1
18:45:08,298,1,1,1,5
18:45:11,298,1,1,1,5
18:45:13,276,1,1,1,5
18:45:15,276,2,1,1,1
18:45:17,253,7,1,1,1
18:45:20,253,1,4,1,1
18:45:22,253,1,1,4,1
18:45:24,236,1,1,1,3
18:45:27,236,1,1,1,3
18:45:29,213,1,1,1,3
18:45:31,213,4,1,1,1
18:45:33,191,1,1,1,1
18:45:36,191,1,1,1,1
18:45:38,179,1,1,1,2
18:45:40,179,1,1,1,2
18:45:42,179,1,1,1,2
18:45:44,158,2,1,1,1
18:45:47,158,6,1,1,1
18:45:49,140,1,1,2,1
18:45:51,140,1,1,2,1
18:45:53,123,1,1,2,1
18:45:56,123,1,1,1,1
18:45:58,105,6,1,1,1
18:46:00,105,1,1,2,1
18:46:02,105,1,1,2,1
18:46:04,87,1,1,2,1
18:46:07,87,6,1,1,1
18:46:09,78,6,1,1,1
18:46:11,78,6,1,1,1
18:46:13,65,6,1,1,1
18:46:16,65,6,1,1,1
18:46:18,48,6,1,1,1
18:46:20,48,4,1,1,1
18:46:22,48,4,1,1,1
18:46:24,38,4,1,1,1
18:46:27,38,3,1,1,1
18:46:29,29,3,1,1,1
18:46:31,29,3,1,1,1
18:46:33,29,2,1,1,1
18:46:35,29,2,1,1,1
18:46:37,20,2,1,1,1
18:46:40,20,2,1,1,1
18:46:42,20,2,1,1,1
18:46:44,14,2,1,1,1
18:46:46,14,1,1,1,1
18:46:48,9,1,1,1,1
18:46:50,9,1,1,1,1
18:46:53,9,1,1,1,1
18:46:55,9,1,1,1,1
18:46:57,9,1,1,1,1
18:46:59,6,1,1,1,1
18:47:01,6,1,1,1,1
18:47:03,3,1,1,1,1
18:47:06,3,1,1,1,1
18:47:08,0,1,1,1,1
18:47:10,0,1,1,1,1
18:47:12,0,1,1,1,1
